➜  Bachelor Arbeit LaTex git:(main) ✗ python Code/main.py
####################################################################################################
Training: 1WL+NN: sum
Cross-Validation Split 1/10:
        Epoch: 50,       Train Loss: -0.0406,    Train Acc: 57.6%,       Val Loss: 0.00117,      Val Acc: 48.7%
        Epoch: 100,      Train Loss: -0.03565,   Train Acc: 57.0%,       Val Loss: 0.00117,      Val Acc: 49.3%
        Epoch: 150,      Train Loss: -0.04842,   Train Acc: 57.4%,       Val Loss: 0.00178,      Val Acc: 46.7%
        Epoch: 200,      Train Loss: -0.05104,   Train Acc: 58.9%,       Val Loss: 0.00138,      Val Acc: 50.0%
        Epoch: 250,      Train Loss: -0.05089,   Train Acc: 58.2%,       Val Loss: 0.00152,      Val Acc: 47.3%
        Epoch: 300,      Train Loss: -0.06277,   Train Acc: 60.1%,       Val Loss: 0.0018,       Val Acc: 44.7%
        Epoch: 350,      Train Loss: -0.05883,   Train Acc: 59.0%,       Val Loss: 0.00164,      Val Acc: 47.3%
        Epoch: 400,      Train Loss: -0.05412,   Train Acc: 58.5%,       Val Loss: 0.00142,      Val Acc: 48.7%
        Epoch: 450,      Train Loss: -0.0639,    Train Acc: 59.6%,       Val Loss: 0.00197,      Val Acc: 45.3%
        Epoch: 500,      Train Loss: -0.06431,   Train Acc: 59.7%,       Val Loss: 0.00222,      Val Acc: 45.3%
Cross-Validation Split 7/10:
        Epoch: 50,       Train Loss: -0.02929,   Train Acc: 54.9%,       Val Loss: 0.00034,      Val Acc: 56.7%
        Epoch: 100,      Train Loss: -0.04317,   Train Acc: 56.4%,       Val Loss: 0.00044,      Val Acc: 54.0%
        Epoch: 150,      Train Loss: -0.05787,   Train Acc: 58.3%,       Val Loss: 0.00099,      Val Acc: 54.7%
        Epoch: 200,      Train Loss: -0.05388,   Train Acc: 58.0%,       Val Loss: 0.0009,       Val Acc: 55.3%
        Epoch: 250,      Train Loss: -0.05853,   Train Acc: 58.3%,       Val Loss: 0.00111,      Val Acc: 52.7%
        Epoch: 300,      Train Loss: -0.05258,   Train Acc: 57.9%,       Val Loss: 0.00188,      Val Acc: 50.7%
        Epoch: 350,      Train Loss: -0.06648,   Train Acc: 59.7%,       Val Loss: 0.00182,      Val Acc: 51.3%
        Epoch: 400,      Train Loss: -0.05786,   Train Acc: 58.2%,       Val Loss: 0.00189,      Val Acc: 52.0%
        Epoch: 450,      Train Loss: -0.06431,   Train Acc: 59.6%,       Val Loss: 0.00173,      Val Acc: 52.7%
        Epoch: 500,      Train Loss: -0.06253,   Train Acc: 59.0%,       Val Loss: 0.00174,      Val Acc: 50.0%
Cross-Validation Split 8/10:
        Epoch: 50,       Train Loss: -0.04307,   Train Acc: 57.1%,       Val Loss: 0.00284,      Val Acc: 43.3%
        Epoch: 100,      Train Loss: -0.04931,   Train Acc: 57.5%,       Val Loss: 0.00232,      Val Acc: 46.0%
        Epoch: 150,      Train Loss: -0.05414,   Train Acc: 57.9%,       Val Loss: 0.0025,       Val Acc: 44.7%
        Epoch: 200,      Train Loss: -0.06944,   Train Acc: 60.5%,       Val Loss: 0.00273,      Val Acc: 44.0%
        Epoch: 250,      Train Loss: -0.05328,   Train Acc: 57.7%,       Val Loss: 0.00296,      Val Acc: 42.0%
        Epoch: 300,      Train Loss: -0.05202,   Train Acc: 58.3%,       Val Loss: 0.00289,      Val Acc: 45.3%
        Epoch: 350,      Train Loss: -0.05452,   Train Acc: 59.2%,       Val Loss: 0.00257,      Val Acc: 46.7%
        Epoch: 400,      Train Loss: -0.05492,   Train Acc: 58.8%,       Val Loss: 0.00302,      Val Acc: 46.0%
        Epoch: 450,      Train Loss: -0.06264,   Train Acc: 59.6%,       Val Loss: 0.00244,      Val Acc: 48.0%
        Epoch: 500,      Train Loss: -0.06028,   Train Acc: 58.7%,       Val Loss: 0.00243,      Val Acc: 47.3%
Cross-Validation Split 9/10:
        Epoch: 50,       Train Loss: -0.03643,   Train Acc: 56.4%,       Val Loss: 0.00247,      Val Acc: 45.3%
        Epoch: 100,      Train Loss: -0.0498,    Train Acc: 57.6%,       Val Loss: 0.00325,      Val Acc: 40.0%
        Epoch: 150,      Train Loss: -0.05671,   Train Acc: 58.4%,       Val Loss: 0.00258,      Val Acc: 46.0%
        Epoch: 200,      Train Loss: -0.06587,   Train Acc: 59.0%,       Val Loss: 0.00252,      Val Acc: 44.7%
        Epoch: 250,      Train Loss: -0.04553,   Train Acc: 57.2%,       Val Loss: 0.00315,      Val Acc: 41.3%
        Epoch: 300,      Train Loss: -0.06003,   Train Acc: 59.6%,       Val Loss: 0.00257,      Val Acc: 43.3%
        Epoch: 350,      Train Loss: -0.06109,   Train Acc: 58.7%,       Val Loss: 0.00198,      Val Acc: 48.0%
        Epoch: 400,      Train Loss: -0.06591,   Train Acc: 59.0%,       Val Loss: 0.00299,      Val Acc: 45.3%
        Epoch: 450,      Train Loss: -0.05611,   Train Acc: 58.5%,       Val Loss: 0.0019,       Val Acc: 48.7%
        Epoch: 500,      Train Loss: -0.05186,   Train Acc: 58.2%,       Val Loss: 0.00249,      Val Acc: 47.3%
Cross-Validation Split 10/10:
        Epoch: 50,       Train Loss: -0.02938,   Train Acc: 56.0%,       Val Loss: 0.00077,      Val Acc: 50.0%
        Epoch: 100,      Train Loss: -0.04333,   Train Acc: 57.4%,       Val Loss: 0.00049,      Val Acc: 52.0%
        Epoch: 150,      Train Loss: -0.04712,   Train Acc: 57.6%,       Val Loss: 0.00134,      Val Acc: 49.3%
        Epoch: 200,      Train Loss: -0.05061,   Train Acc: 57.8%,       Val Loss: 0.00075,      Val Acc: 49.3%
        Epoch: 250,      Train Loss: -0.06338,   Train Acc: 59.1%,       Val Loss: 0.00083,      Val Acc: 51.3%
        Epoch: 300,      Train Loss: -0.05515,   Train Acc: 58.1%,       Val Loss: 0.00032,      Val Acc: 51.3%
        Epoch: 350,      Train Loss: -0.05165,   Train Acc: 58.8%,       Val Loss: 0.00051,      Val Acc: 52.0%
        Epoch: 400,      Train Loss: -0.057,     Train Acc: 58.1%,       Val Loss: 0.00092,      Val Acc: 50.7%
        Epoch: 450,      Train Loss: -0.06449,   Train Acc: 59.0%,       Val Loss: 0.00011,      Val Acc: 54.0%
        Epoch: 500,      Train Loss: -0.06626,   Train Acc: 59.9%,       Val Loss: 0.00108,      Val Acc: 50.0%
Avg runtime per epoch: 0.5480210182189942
####################################################################################################
Training: 1WL+NN: max
Cross-Validation Split 1/10:
        Epoch: 50,       Train Loss: -0.02775,   Train Acc: 54.1%,       Val Loss: 0.00232,      Val Acc: 45.3%
        Epoch: 100,      Train Loss: -0.03121,   Train Acc: 54.2%,       Val Loss: 0.00171,      Val Acc: 47.3%
        Epoch: 150,      Train Loss: -0.03484,   Train Acc: 54.2%,       Val Loss: 0.00252,      Val Acc: 42.7%
        Epoch: 200,      Train Loss: -0.04413,   Train Acc: 55.2%,       Val Loss: 0.00272,      Val Acc: 42.7%
        Epoch: 250,      Train Loss: -0.04522,   Train Acc: 55.3%,       Val Loss: 0.00282,      Val Acc: 44.0%
        Epoch: 300,      Train Loss: -0.04168,   Train Acc: 54.7%,       Val Loss: 0.00243,      Val Acc: 45.3%
        Epoch: 350,      Train Loss: -0.03733,   Train Acc: 54.2%,       Val Loss: 0.00237,      Val Acc: 43.3%
