        Epoch: 150,      Train Loss: -1.11098,   Train Acc: 98.2%,       Val Loss: -0.00803,     Val Acc: 50.5%
        Epoch: 175,      Train Loss: -1.11866,   Train Acc: 98.6%,       Val Loss: -0.00917,     Val Acc: 54.1%
        Epoch: 200,      Train Loss: -1.10737,   Train Acc: 98.1%,       Val Loss: -0.01187,     Val Acc: 57.7%
        Epoch: 225,      Train Loss: -1.11916,   Train Acc: 98.6%,       Val Loss: -0.00582,     Val Acc: 45.9%
        Epoch: 250,      Train Loss: -1.11673,   Train Acc: 98.4%,       Val Loss: -0.00617,     Val Acc: 46.8%
        Epoch: 275,      Train Loss: -1.13336,   Train Acc: 99.1%,       Val Loss: -0.00713,     Val Acc: 47.7%
        Epoch: 300,      Train Loss: -1.12826,   Train Acc: 98.9%,       Val Loss: -0.00807,     Val Acc: 49.5%
        Epoch: 325,      Train Loss: -1.13062,   Train Acc: 98.9%,       Val Loss: -0.00728,     Val Acc: 47.7%
        Epoch: 350,      Train Loss: -1.1306,    Train Acc: 98.9%,       Val Loss: -0.00887,     Val Acc: 51.4%
        Epoch: 375,      Train Loss: -1.13281,   Train Acc: 99.1%,       Val Loss: -0.00527,     Val Acc: 43.2%
        Epoch: 400,      Train Loss: -1.12694,   Train Acc: 98.8%,       Val Loss: -0.00592,     Val Acc: 45.0%
        Epoch: 425,      Train Loss: -1.10875,   Train Acc: 98.2%,       Val Loss: -0.00617,     Val Acc: 45.9%
        Epoch: 450,      Train Loss: -1.12975,   Train Acc: 99.0%,       Val Loss: -0.0087,      Val Acc: 51.4%
        Epoch: 475,      Train Loss: -1.13782,   Train Acc: 99.2%,       Val Loss: -0.00683,     Val Acc: 47.7%
        Epoch: 500,      Train Loss: -1.14266,   Train Acc: 99.4%,       Val Loss: -0.00685,     Val Acc: 47.7%
Cross-Validation Split 6/10:
        Epoch: 25,       Train Loss: -1.02529,   Train Acc: 95.1%,       Val Loss: -0.0127,      Val Acc: 58.6%
        Epoch: 50,       Train Loss: -1.04607,   Train Acc: 96.1%,       Val Loss: -0.01209,     Val Acc: 55.9%
        Epoch: 75,       Train Loss: -1.015,     Train Acc: 94.6%,       Val Loss: -0.01332,     Val Acc: 58.6%
        Epoch: 100,      Train Loss: -1.06908,   Train Acc: 96.7%,       Val Loss: -0.00966,     Val Acc: 54.1%
        Epoch: 125,      Train Loss: -1.08146,   Train Acc: 97.3%,       Val Loss: -0.00863,     Val Acc: 51.4%
        Epoch: 150,      Train Loss: -1.10002,   Train Acc: 97.9%,       Val Loss: -0.01095,     Val Acc: 55.0%
        Epoch: 175,      Train Loss: -1.12216,   Train Acc: 98.8%,       Val Loss: -0.0117,      Val Acc: 57.7%
        Epoch: 200,      Train Loss: -1.13676,   Train Acc: 99.2%,       Val Loss: -0.01054,     Val Acc: 52.3%
        Epoch: 225,      Train Loss: -1.12699,   Train Acc: 98.9%,       Val Loss: -0.00637,     Val Acc: 45.9%
        Epoch: 250,      Train Loss: -1.10829,   Train Acc: 98.1%,       Val Loss: -0.00822,     Val Acc: 50.5%
        Epoch: 275,      Train Loss: -1.13027,   Train Acc: 98.9%,       Val Loss: -0.007,       Val Acc: 48.6%
        Epoch: 300,      Train Loss: -1.13406,   Train Acc: 99.1%,       Val Loss: -0.00716,     Val Acc: 47.7%
        Epoch: 325,      Train Loss: -1.12671,   Train Acc: 98.8%,       Val Loss: -0.00698,     Val Acc: 46.8%
