,pca,tsne,_step,_wandb,_runtime,_timestamp,max_accuracy,knn,lr,k_wl,seed,tags,model,k_fold,dataset,batch_size,gnn_kwargs,max_epochs,mlp_kwargs,num_repition,wl_convergence,encoding_kwargs,transformer_kwargs,Tags,name,run_id,num_epochs,val_accuracy,test_accuracy,num_epochs_std,val_accuracy_std,test_accuracy_std,train_accuracy,train_accuracy_std,jk,act,norm,device,dropout,act_first,num_layers,hidden_channels,embedding_dim,Shannon Diversity,1-WL Accuracy,dataset_names,wl_max_iterations,model_type
0,"{'artifact_path': 'wandb-client-artifact://l3q8fg7afk1403dex1me366ujlopfab9vwtg0burjfwka8brhjuxlj6bxrnkm7djlpq10k88rucfx95kienpqiqob5viognx53w4btt7o9zjd3k5l4mh4yqkx34isgvr:latest/pca.table.json', '_latest_artifact_path': 'wandb-client-artifact://l3q8fg7afk1403dex1me366ujlopfab9vwtg0burjfwka8brhjuxlj6bxrnkm7djlpq10k88rucfx95kienpqiqob5viognx53w4btt7o9zjd3k5l4mh4yqkx34isgvr:latest/pca.table.json', 'path': 'media/table/pca_1_a0a3213713118c918598.table.json', 'size': 205218, '_type': 'table-file', 'ncols': 3, 'nrows': 4110, 'sha256': 'a0a3213713118c918598aa0eb8edd02de3d46000ab1a3850770570292a9b97fa'}","{'sha256': '8dd477ee115cb0e5d3e15810c26e0b3a162e8788afed1d6a54fb1007f94d1f67', 'artifact_path': 'wandb-client-artifact://8gv96e4jfv48sxad9fl6ufrtajf6hgtzkjwajbkhcqxg9q81vwymffc5mwam4z9ep2zny9ctbqkfsq76jtt0601aajnjlt279oz6lm2akr4urspdz3mv6i0ud438zss1:latest/tsne.table.json', '_latest_artifact_path': 'wandb-client-artifact://8gv96e4jfv48sxad9fl6ufrtajf6hgtzkjwajbkhcqxg9q81vwymffc5mwam4z9ep2zny9ctbqkfsq76jtt0601aajnjlt279oz6lm2akr4urspdz3mv6i0ud438zss1:latest/tsne.table.json', 'path': 'media/table/tsne_2_8dd477ee115cb0e5d3e1.table.json', 'size': 204966, '_type': 'table-file', 'ncols': 3, 'nrows': 4110}",3.0,{'runtime': 113},114.61503267288208,1686424130.5689118,0.9985401630401612,"{'size': 5309, '_type': 'table-file', 'ncols': 2, 'nrows': 200, 'sha256': '0c9dfe9923029857c03b7983e6a4b9bfb3295c0f21640328b26491c547475278', 'artifact_path': 'wandb-client-artifact://jvpgqfk03gam2ebuylg5khqgbkowi1kd1hms19hfh50stxdfv1i3g8vat9wnri51ufabaqk3cig1o1r8rro06jqek1usb0w6k9fbh47by5dvtheq5fqnfk4uezed3gdu:latest/knn.table.json', '_latest_artifact_path': 'wandb-client-artifact://jvpgqfk03gam2ebuylg5khqgbkowi1kd1hms19hfh50stxdfv1i3g8vat9wnri51ufabaqk3cig1o1r8rro06jqek1usb0w6k9fbh47by5dvtheq5fqnfk4uezed3gdu:latest/knn.table.json', 'path': 'media/table/knn_3_0c9dfe9923029857c03b.table.json'}",0.0002710194167602541,1.0,42.0,['replicate'],GIN:Max,10.0,NCI1,129.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0, 'act_first': False, 'num_layers': 5, 'hidden_channels': 128}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.024331698859625252, 'num_layers': 4, 'hidden_channels': 128}",5.0,False,{},{},aggregate_analysis,Aggregate: GNN: NCI1,vsnxjxgp,,,,,,,,,,,,,,,,,,,,,,GNN
1,"{'path': 'media/table/pca_1_3bd1f50d8d364c6bc536.table.json', 'size': 55245, '_type': 'table-file', 'ncols': 3, 'nrows': 1113, 'sha256': '3bd1f50d8d364c6bc536fb0aee8c04a2a0698bb55f46debe280308f5d3c926ac', 'artifact_path': 'wandb-client-artifact://j9tqbu6mod1na32hzy9k1ussb2mnuppffdwa6gnwp55slglrlzn28mfdejtu6yukfauif01i5i4x2cn2r4pf6k98jjco0eholrbg1tjln02hxtgjuapm1hbwd4ksbl5s:latest/pca.table.json', '_latest_artifact_path': 'wandb-client-artifact://j9tqbu6mod1na32hzy9k1ussb2mnuppffdwa6gnwp55slglrlzn28mfdejtu6yukfauif01i5i4x2cn2r4pf6k98jjco0eholrbg1tjln02hxtgjuapm1hbwd4ksbl5s:latest/pca.table.json'}","{'size': 55002, '_type': 'table-file', 'ncols': 3, 'nrows': 1113, 'sha256': '81f83f0670af5d26cbc87aa45fc59eae4df69e55781d9c926261c6e08555cc9f', 'artifact_path': 'wandb-client-artifact://4wk8b4ynp0zsa9q34hcb4a0ciwqarqnk2vzug3zyz727jdccyjuvdgpnem5ddn16oqdxk0e50y70jkim6lcvv165lbkd1yg1f55lx5s3cn1rv21ro5lo0khjo9jlb6zk:latest/tsne.table.json', '_latest_artifact_path': 'wandb-client-artifact://4wk8b4ynp0zsa9q34hcb4a0ciwqarqnk2vzug3zyz727jdccyjuvdgpnem5ddn16oqdxk0e50y70jkim6lcvv165lbkd1yg1f55lx5s3cn1rv21ro5lo0khjo9jlb6zk:latest/tsne.table.json', 'path': 'media/table/tsne_2_81f83f0670af5d26cbc8.table.json'}",3.0,{'runtime': 31},32.482369899749756,1686424002.406996,0.9991015195846558,"{'path': 'media/table/knn_3_8b64c52ce75103dcd7ad.table.json', 'size': 5317, '_type': 'table-file', 'ncols': 2, 'nrows': 200, 'sha256': '8b64c52ce75103dcd7ad3e98d8d5e9bc0940d766672c3d5edabfe778241e819b', 'artifact_path': 'wandb-client-artifact://evs66xfx7wtszg9e6uhi1gfhad89mkoe3257ktv49ytlh9kguewdvshuoexxjjn6bl1bre61ztetsyw7v6nbfqrz5t763oqclazg0cyeesmdqfetib7ixx8wpbioo1gy:latest/knn.table.json', '_latest_artifact_path': 'wandb-client-artifact://evs66xfx7wtszg9e6uhi1gfhad89mkoe3257ktv49ytlh9kguewdvshuoexxjjn6bl1bre61ztetsyw7v6nbfqrz5t763oqclazg0cyeesmdqfetib7ixx8wpbioo1gy:latest/knn.table.json'}",0.0002710194167602541,1.0,42.0,['replicate'],GIN:Max,10.0,PROTEINS,32.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.023169054612438345, 'act_first': False, 'num_layers': 5, 'hidden_channels': 128}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.024331698859625252, 'num_layers': 4, 'hidden_channels': 128}",5.0,False,{},{},aggregate_analysis,Aggregate: GNN: PROTEINS,kztazywm,,,,,,,,,,,,,,,,,,,,,,GNN
2,"{'size': 49553, '_type': 'table-file', 'ncols': 3, 'nrows': 1000, 'sha256': 'b0b64d89e328a2b490c26be25822f6414509bd6a1d4d926d77bceb79ba64299a', 'artifact_path': 'wandb-client-artifact://sh76u5ezzrg6yilf62fdf8pepgqi2nytby4brxrryqiwoa7k2hwsx6a67yucz3digezybza6ovfg6fvwj8mvxt4s839xb3kv1tsui8y8aogr84secr3f2sc0ut39w04p:latest/pca.table.json', '_latest_artifact_path': 'wandb-client-artifact://sh76u5ezzrg6yilf62fdf8pepgqi2nytby4brxrryqiwoa7k2hwsx6a67yucz3digezybza6ovfg6fvwj8mvxt4s839xb3kv1tsui8y8aogr84secr3f2sc0ut39w04p:latest/pca.table.json', 'path': 'media/table/pca_1_b0b64d89e328a2b490c2.table.json'}","{'artifact_path': 'wandb-client-artifact://kpvwu3cfahx25s0tp5b2ijzx6ce3kv17sndungnfzgfzjq689lcdlxczox7i1hqigzc0qu9d92p2z4cf1n8o6vtis5ms5qkf5og8kmp4w6sginxbyu4o5qi22p8x7h0z:latest/tsne.table.json', '_latest_artifact_path': 'wandb-client-artifact://kpvwu3cfahx25s0tp5b2ijzx6ce3kv17sndungnfzgfzjq689lcdlxczox7i1hqigzc0qu9d92p2z4cf1n8o6vtis5ms5qkf5og8kmp4w6sginxbyu4o5qi22p8x7h0z:latest/tsne.table.json', 'path': 'media/table/tsne_2_8a166f570ca054c81590.table.json', 'size': 49389, '_type': 'table-file', 'ncols': 3, 'nrows': 1000, 'sha256': '8a166f570ca054c8159084934de4407aee820b9c465415e3cc14a4f76a5873f0'}",3.0,{'runtime': 23},25.08406400680542,1686423958.434023,0.9850000143051147,"{'nrows': 200, 'sha256': '95f2f7d0b3da6fbb3e5791ca8529ebabed42b496cd1b8aabb5896cdcb0c5d6c0', 'artifact_path': 'wandb-client-artifact://yn5waajrpn0q8yxqjm6j9cvewf77rdpp21c3z9xjdo7dduhzeze22mj4dviy9dufzf1st9rcp1rd02l2ii5mn7r4638cvrcu4kr1td9319k1wup4r3xw30h8rtq5ia8q:latest/knn.table.json', '_latest_artifact_path': 'wandb-client-artifact://yn5waajrpn0q8yxqjm6j9cvewf77rdpp21c3z9xjdo7dduhzeze22mj4dviy9dufzf1st9rcp1rd02l2ii5mn7r4638cvrcu4kr1td9319k1wup4r3xw30h8rtq5ia8q:latest/knn.table.json', 'path': 'media/table/knn_3_95f2f7d0b3da6fbb3e57.table.json', 'size': 3842, '_type': 'table-file', 'ncols': 2}",0.0007139277139039066,,42.0,['replicate'],GCN:Mean,10.0,IMDB-BINARY,32.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.16401526433710445, 'act_first': False, 'num_layers': 5, 'hidden_channels': 64}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.14444847700248636, 'num_layers': 5, 'hidden_channels': 64}",5.0,False,{},{},aggregate_analysis,Aggregate: GNN: IMDB-BINARY,ry6squ54,,,,,,,,,,,,,,,,,,,,,,GNN
3,"{'artifact_path': 'wandb-client-artifact://fnccjtcxux0tebw9e7ap0o7o7b6vgjgxxufovshq0xgt4vln9oh5mmhmc9481gytmeahzs0ivg82y76m81wfw1vjxncpdyv58uacf2p6gk1d28ogvcbytnt7iue97y4a:latest/pca.table.json', '_latest_artifact_path': 'wandb-client-artifact://fnccjtcxux0tebw9e7ap0o7o7b6vgjgxxufovshq0xgt4vln9oh5mmhmc9481gytmeahzs0ivg82y76m81wfw1vjxncpdyv58uacf2p6gk1d28ogvcbytnt7iue97y4a:latest/pca.table.json', 'path': 'media/table/pca_1_477a703b4ed93540ca04.table.json', 'size': 29776, '_type': 'table-file', 'ncols': 3, 'nrows': 600, 'sha256': '477a703b4ed93540ca04ba05a9cafb6c2308d2b09f6bf6c79d05e1f88b78af41'}","{'_type': 'table-file', 'ncols': 3, 'nrows': 600, 'sha256': 'ef1faacedae063b539f8d43cde9e8455aa376a1b479cd1887fc898d2065500be', 'artifact_path': 'wandb-client-artifact://slcsbg17xytyv6cmr5vcsychopfjkhega8kevaz167ulpexqe9l5vdhvq3902ndgzht518m1mj4v92pyf25fderx9jqoyhm25xk542dzaoqpnjq7ai20mb31gbl5rpf1:latest/tsne.table.json', '_latest_artifact_path': 'wandb-client-artifact://slcsbg17xytyv6cmr5vcsychopfjkhega8kevaz167ulpexqe9l5vdhvq3902ndgzht518m1mj4v92pyf25fderx9jqoyhm25xk542dzaoqpnjq7ai20mb31gbl5rpf1:latest/tsne.table.json', 'path': 'media/table/tsne_2_ef1faacedae063b539f8.table.json', 'size': 29477}",3.0,{'runtime': 17},19.04147505760193,1686423918.906452,1.0,"{'artifact_path': 'wandb-client-artifact://bkxp2xnwlveui4fftus2o1soy3hgiw3snzgzp4j1aopqz71zxyu7vannh7r2li015zock8lp93vw893354gm6exp7u0dpacguyhox4yuhdhkp4rqajvem8n54g7ybdw7:latest/knn.table.json', '_latest_artifact_path': 'wandb-client-artifact://bkxp2xnwlveui4fftus2o1soy3hgiw3snzgzp4j1aopqz71zxyu7vannh7r2li015zock8lp93vw893354gm6exp7u0dpacguyhox4yuhdhkp4rqajvem8n54g7ybdw7:latest/knn.table.json', 'path': 'media/table/knn_3_ff135492f4c1c55f96e5.table.json', 'size': 4862, '_type': 'table-file', 'ncols': 2, 'nrows': 200, 'sha256': 'ff135492f4c1c55f96e5696764a0e3b55884a820a8f630c831ddae3b871ea013'}",0.002699855684273748,1.0,42.0,['replicate'],GAT:Sum,10.0,ENZYMES,32.0,"{'jk': 'cat', 'act': 'relu', 'norm': None, 'dropout': 0.12270891333491817, 'act_first': False, 'num_layers': 5, 'hidden_channels': 64}",200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.06069166552982977, 'num_layers': 3, 'hidden_channels': 64}",5.0,False,{},{},aggregate_analysis,Aggregate: GNN: ENZYMES,tulj4fze,,,,,,,,,,,,,,,,,,,,,,GNN
4,"{'nrows': 4110, 'sha256': '677cd91f1e95e547a0b1de81bd4df84d0b06bf6ade65949e55f2bdb2b4a5f224', 'artifact_path': 'wandb-client-artifact://6dauzyocikpid62miv3bdnnl14nopfhos198rfoe9kh9zcrmrc9eu6c3wontno73a684xx0hbpqo3100whk5353yjbs9gup42a77f72kdwz7ht5kiu3lz1w2k3wgqlmi:latest/pca.table.json', '_latest_artifact_path': 'wandb-client-artifact://6dauzyocikpid62miv3bdnnl14nopfhos198rfoe9kh9zcrmrc9eu6c3wontno73a684xx0hbpqo3100whk5353yjbs9gup42a77f72kdwz7ht5kiu3lz1w2k3wgqlmi:latest/pca.table.json', 'path': 'media/table/pca_1_677cd91f1e95e547a0b1.table.json', 'size': 204965, '_type': 'table-file', 'ncols': 3}","{'size': 204666, '_type': 'table-file', 'ncols': 3, 'nrows': 4110, 'sha256': 'b27e24c0fe69f87222ea4b77489c0f88bdeac4754490ee4b001917349cf51eda', 'artifact_path': 'wandb-client-artifact://a8htjline6q0o4f073lnag58nml9wef321n4p5uffy0yhslsomi7x2xvwm1qife67wsjkb1bbhvs6jzauot6y7fae6rxp17hthaqwpgueuyvjua5mmle08w2t84ikmby:latest/tsne.table.json', '_latest_artifact_path': 'wandb-client-artifact://a8htjline6q0o4f073lnag58nml9wef321n4p5uffy0yhslsomi7x2xvwm1qife67wsjkb1bbhvs6jzauot6y7fae6rxp17hthaqwpgueuyvjua5mmle08w2t84ikmby:latest/tsne.table.json', 'path': 'media/table/tsne_2_b27e24c0fe69f87222ea.table.json'}",3.0,{'runtime': 75},76.73999691009521,1686423886.416657,0.9987834692001344,"{'nrows': 200, 'sha256': 'afb287c6e68c5b334f0d81590fc24810b060a356c442ca545914369729b7c1db', 'artifact_path': 'wandb-client-artifact://zcruvlxnztp4p9ffydb4si8v50wgn7mxfoxpo3ejsnr02qbtth2md064ykhft0dgd4yfehczfxzgz06a83p03yk34kkeb9fv6c5om6gf8hfiq25sd0fga37cpwcxqg1z:latest/knn.table.json', '_latest_artifact_path': 'wandb-client-artifact://zcruvlxnztp4p9ffydb4si8v50wgn7mxfoxpo3ejsnr02qbtth2md064ykhft0dgd4yfehczfxzgz06a83p03yk34kkeb9fv6c5om6gf8hfiq25sd0fga37cpwcxqg1z:latest/knn.table.json', 'path': 'media/table/knn_3_afb287c6e68c5b334f0d.table.json', 'size': 5322, '_type': 'table-file', 'ncols': 2}",0.01329617178644451,3.0,42.0,['replicate'],1WL+NN:Embedding-Sum,10.0,NCI1,33.0,{},200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.12116916436590013, 'num_layers': 2, 'hidden_channels': 32}",5.0,False,"{'embedding_dim': 32, 'max_node_feature': 27262}",{},aggregate_analysis,Aggregate: 1-WL+NN: NCI1,4r7jovjj,,,,,,,,,,,,,,,,,,,,,,1-WL+NN
5,"{'artifact_path': 'wandb-client-artifact://xetj6l29ozokjiaf43lekigsmrb9g5knw8wgens9bwzr9h9e9heelr294kcd76a5sopbcd3wsmp72x1ngpjx1o2oirq02uau7yr5mljqthirpkg91xe6r12uf61selbd:latest/pca.table.json', '_latest_artifact_path': 'wandb-client-artifact://xetj6l29ozokjiaf43lekigsmrb9g5knw8wgens9bwzr9h9e9heelr294kcd76a5sopbcd3wsmp72x1ngpjx1o2oirq02uau7yr5mljqthirpkg91xe6r12uf61selbd:latest/pca.table.json', 'path': 'media/table/pca_1_a8bebc9bb6c4cd17865c.table.json', 'size': 30002, '_type': 'table-file', 'ncols': 3, 'nrows': 600, 'sha256': 'a8bebc9bb6c4cd17865c9486e93226b0012c2126b8b3244d7a80dc4f410304d1'}","{'_type': 'table-file', 'ncols': 3, 'nrows': 600, 'sha256': 'e581ee75f020270d795ea8f8b532a0277701abc16551a5844c57f0740a81670a', 'artifact_path': 'wandb-client-artifact://7q1ribb07gd5kw8v20dc37cpy611owrdlwgw54gbszf6u42ygoeh5fy07ufj2dqmy62ynhu0fh0rvksqoinaeo858jreiz1y575m41e5kxd3wkdmb5bck0wusywfa7v0:latest/tsne.table.json', '_latest_artifact_path': 'wandb-client-artifact://7q1ribb07gd5kw8v20dc37cpy611owrdlwgw54gbszf6u42ygoeh5fy07ufj2dqmy62ynhu0fh0rvksqoinaeo858jreiz1y575m41e5kxd3wkdmb5bck0wusywfa7v0:latest/tsne.table.json', 'path': 'media/table/tsne_2_e581ee75f020270d795e.table.json', 'size': 29418}",3.0,{'runtime': 23},24.744611024856567,1686423792.479535,1.0,"{'sha256': '5a7ccb4d0302509795466f87259c58e3013a61c3eab2add328e7b705a0b5d697', 'artifact_path': 'wandb-client-artifact://pxa3u7wnfrjsnhzrtl082nt233xszcwx1ova0z3z427xnfxtwwaqz24lx17kl9evzv4sn2mjquuqckv6zavvgfuci5rtnu9pswp5st7pmenk5pq9kfy97s2kwka75jmg:latest/knn.table.json', '_latest_artifact_path': 'wandb-client-artifact://pxa3u7wnfrjsnhzrtl082nt233xszcwx1ova0z3z427xnfxtwwaqz24lx17kl9evzv4sn2mjquuqckv6zavvgfuci5rtnu9pswp5st7pmenk5pq9kfy97s2kwka75jmg:latest/knn.table.json', 'path': 'media/table/knn_3_5a7ccb4d030250979546.table.json', 'size': 4783, '_type': 'table-file', 'ncols': 2, 'nrows': 200}",0.003733873412428764,1.0,42.0,['replicate'],1WL+NN:Embedding-Sum,10.0,ENZYMES,32.0,{},200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.0980200557864032, 'num_layers': 3, 'hidden_channels': 128}",5.0,False,"{'embedding_dim': 128, 'max_node_feature': 231}",{},aggregate_analysis,Aggregate: 1-WL+NN: ENZYMES,wbywu4pc,,,,,,,,,,,,,,,,,,,,,,1-WL+NN
6,"{'nrows': 1000, 'sha256': 'fc9b755bf05c64210d185c76be2e23f2f1cfe264d70ca31659b919a629edf9ec', 'artifact_path': 'wandb-client-artifact://11aod9luvp7ev9cxmkkoxysph0d16j8e6i3n9wzz9r30fb7004h2liw3yhmqi5xf2rh0ubnbycnilg2g8h0az0so92daqdo1lcxik5spdbyo31bam8vwps35cdnze8qs:latest/pca.table.json', '_latest_artifact_path': 'wandb-client-artifact://11aod9luvp7ev9cxmkkoxysph0d16j8e6i3n9wzz9r30fb7004h2liw3yhmqi5xf2rh0ubnbycnilg2g8h0az0so92daqdo1lcxik5spdbyo31bam8vwps35cdnze8qs:latest/pca.table.json', 'path': 'media/table/pca_1_fc9b755bf05c64210d18.table.json', 'size': 49516, '_type': 'table-file', 'ncols': 3}","{'ncols': 3, 'nrows': 1000, 'sha256': '4e3bc238f98242a1d170267f65f520afa0358ecf99c1200d93ad1675f22a7926', 'artifact_path': 'wandb-client-artifact://warqkxlwpl2jm31eyjuuk4om9y6w77zfs84e9qj75ohplmj7boc8wj44iun276cmr6qrk64btti5w7lo8yst8o9bknjyzsrzx9ov9wyv38tnp7wi66uhdh1kqwi8p0sh:latest/tsne.table.json', '_latest_artifact_path': 'wandb-client-artifact://warqkxlwpl2jm31eyjuuk4om9y6w77zfs84e9qj75ohplmj7boc8wj44iun276cmr6qrk64btti5w7lo8yst8o9bknjyzsrzx9ov9wyv38tnp7wi66uhdh1kqwi8p0sh:latest/tsne.table.json', 'path': 'media/table/tsne_2_4e3bc238f98242a1d170.table.json', 'size': 49333, '_type': 'table-file'}",3.0,{'runtime': 24},25.34975504875183,1686423752.0263731,0.9810000061988832,"{'ncols': 2, 'nrows': 200, 'sha256': 'b1804da57e58c9bff04e5e2538662975bdb2111fba0f46754330ee6504746d8c', 'artifact_path': 'wandb-client-artifact://83dxaa5bk38jwxwfhc4exa95whtbrauthpbg8k2ih3x9pxlp7wwlm82zfx31z2e2ggfu15lozormvjbl4zpyybmct3e3pjx2nqggtp7k58jmvffvm11cfk42d16b600w:latest/knn.table.json', '_latest_artifact_path': 'wandb-client-artifact://83dxaa5bk38jwxwfhc4exa95whtbrauthpbg8k2ih3x9pxlp7wwlm82zfx31z2e2ggfu15lozormvjbl4zpyybmct3e3pjx2nqggtp7k58jmvffvm11cfk42d16b600w:latest/knn.table.json', 'path': 'media/table/knn_3_b1804da57e58c9bff04e.table.json', 'size': 3733, '_type': 'table-file'}",0.011039681685077896,1.0,42.0,['replicate'],1WL+NN:Embedding-Mean,10.0,IMDB-BINARY,32.0,{},200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.19977822025728648, 'num_layers': 3, 'hidden_channels': 16}",5.0,False,"{'embedding_dim': 16, 'max_node_feature': 65}",{},aggregate_analysis,Aggregate: 1-WL+NN: IMDB-BINARY,hcqu65ly,,,,,,,,,,,,,,,,,,,,,,1-WL+NN
7,"{'size': 55112, '_type': 'table-file', 'ncols': 3, 'nrows': 1113, 'sha256': 'be77e3588fbafd088e5823519dc854104f30df74bba7218a5fce63e949ad6a55', 'artifact_path': 'wandb-client-artifact://s24gqlukqi3pwue6xdqxpi0cisde59kbc5dsn1v227vm6963v4aik9iultnl63uwa0bx2c3yt8w3wqecd4cz93qlldb39hj6ow1pkk3drlqzb6x2au7hdw87bl6jfqb4:latest/pca.table.json', '_latest_artifact_path': 'wandb-client-artifact://s24gqlukqi3pwue6xdqxpi0cisde59kbc5dsn1v227vm6963v4aik9iultnl63uwa0bx2c3yt8w3wqecd4cz93qlldb39hj6ow1pkk3drlqzb6x2au7hdw87bl6jfqb4:latest/pca.table.json', 'path': 'media/table/pca_1_be77e3588fbafd088e58.table.json'}","{'_type': 'table-file', 'ncols': 3, 'nrows': 1113, 'sha256': '20dd67fb77850d73fb36f60e444960fe5f2457bb0caba45199997535a47247aa', 'artifact_path': 'wandb-client-artifact://6yad28wr7dmxg7r4dcletp9bd4pjwxfg52gtqfbqvnexlol04poee9awyyc76enkjnp3qzfg05nq7tazo4kt4t76hwam0nlt6ffgphb33kbb08jbputdnti4jafdp7iv:latest/tsne.table.json', '_latest_artifact_path': 'wandb-client-artifact://6yad28wr7dmxg7r4dcletp9bd4pjwxfg52gtqfbqvnexlol04poee9awyyc76enkjnp3qzfg05nq7tazo4kt4t76hwam0nlt6ffgphb33kbb08jbputdnti4jafdp7iv:latest/tsne.table.json', 'path': 'media/table/tsne_2_20dd67fb77850d73fb36.table.json', 'size': 54981}",3.0,{'runtime': 34},35.582677125930786,1686423711.618096,0.9820305705070496,"{'artifact_path': 'wandb-client-artifact://0sfa2biefxnxr27dontvtoh6o1kgtg5mztvi7d1m57v7q0hgoyngd4pwjb0fmmrke4t16xkz6lk3ekhd2oe93ve9ixav6nmf83l3icz8sypvjgzqe217pmfmfdosue3t:latest/knn.table.json', '_latest_artifact_path': 'wandb-client-artifact://0sfa2biefxnxr27dontvtoh6o1kgtg5mztvi7d1m57v7q0hgoyngd4pwjb0fmmrke4t16xkz6lk3ekhd2oe93ve9ixav6nmf83l3icz8sypvjgzqe217pmfmfdosue3t:latest/knn.table.json', 'path': 'media/table/knn_3_4ab37bd73acbdaa1acfb.table.json', 'size': 5308, '_type': 'table-file', 'ncols': 2, 'nrows': 200, 'sha256': '4ab37bd73acbdaa1acfba8b21694ff5de5884b01a691c8022d1afd95d0a0d560'}",0.02390634549597559,1.0,42.0,['replicate'],1WL+NN:Embedding-Max,10.0,PROTEINS,32.0,{},200.0,"{'act': 'relu', 'norm': 'batch_norm', 'dropout': 0.04824676455149229, 'num_layers': 3, 'hidden_channels': 64}",5.0,False,"{'embedding_dim': 64, 'max_node_feature': 297}",{},aggregate_analysis,Aggregate: 1-WL+NN: PROTEINS,cs8nruf4,,,,,,,,,,,,,,,,,,,,,,1-WL+NN
8,,,0.0,{'runtime': 4550},4551.758962869644,1686404720.106818,,,0.0002710194167602541,1.0,42.0,,GIN:Max,10.0,NCI1,129.0,,200.0,,,False,,,replicate,GIN:Max: 10.06.2023 14:29:27,11dzui0u,56.58000183105469,81.20000457763672,79.62530517578125,1.57907235622406,1.9559412002563477,2.2352726459503174,90.4920425415039,2.0543622970581055,cat,relu,batch_norm,cpu,0.024331698859625252,False,4.0,128.0,,,,,,GNN
9,,,0.0,{'runtime': 2664},2666.3788969516754,1686402747.764571,,,0.01329617178644451,3.0,42.0,,1WL+NN:Embedding-Sum,10.0,NCI1,33.0,,200.0,,,False,,,replicate,1WL+NN:Embedding-Sum: 10.06.2023 14:28:00,yhuvjjrt,86.30000305175781,84.55675506591797,83.6009750366211,0.8630747199058533,1.6970946788787842,2.1795504093170166,95.39620971679688,1.3485145568847656,,relu,batch_norm,cpu,0.12116916436590013,,2.0,,32.0,,,,,1-WL+NN
10,,,0.0,{'runtime': 829},830.7740650177002,1686386952.818027,,,0.011039681685077896,1.0,42.0,,1WL+NN:Embedding-Mean,10.0,IMDB-BINARY,32.0,,200.0,,,False,,,replicate,1WL+NN:Embedding-Mean: 10.06.2023 10:35:20,zgnlz5ha,87.95999908447266,76.22221374511719,72.08000183105469,2.7991251945495605,3.6404271125793457,4.004283428192139,74.65926361083984,1.2998154163360596,,relu,batch_norm,cpu,0.19977822025728648,,3.0,,16.0,,,,,1-WL+NN
11,,,,,,,,,0.0007139277139039066,,42.0,,GCN:Mean,10.0,IMDB-BINARY,32.0,,200.0,,,False,,,replicate,GCN:Mean: 10.06.2023 10:32:22,h1f91ecp,,,,,,,,,cat,relu,batch_norm,cpu,0.14444847700248636,False,5.0,64.0,,,,,,GNN
12,,,0.0,{'runtime': 3231},3232.978056907654,1686389077.852803,,,0.0002710194167602541,1.0,42.0,,GIN:Max,10.0,PROTEINS,32.0,,200.0,,,False,,,replicate,GIN:Max: 10.06.2023 10:30:42,ojfncyr5,58.560001373291016,78.8316879272461,74.01158142089844,3.626208543777466,3.4524195194244385,4.15840482711792,77.71743774414062,1.992313861846924,cat,relu,batch_norm,cpu,0.024331698859625252,False,4.0,128.0,,,,,,GNN
13,,,0.0,{'runtime': 1356},1357.3556010723114,1686387071.975631,,,0.02390634549597559,1.0,42.0,,1WL+NN:Embedding-Max,10.0,PROTEINS,32.0,,200.0,,,False,,,replicate,1WL+NN:Embedding-Max: 10.06.2023 10:28:32,ao3shwvc,94.63999938964844,78.39603424072266,74.4599380493164,3.468576192855835,3.8408398628234863,4.064220905303955,80.02205657958984,2.5061192512512207,,relu,batch_norm,cpu,0.04824676455149229,,3.0,,64.0,,,,,1-WL+NN
14,,,0.0,{'runtime': 318},319.3646328449249,1686385913.748318,,,0.003733873412428764,1.0,42.0,,1WL+NN:Embedding-Sum,10.0,ENZYMES,32.0,,200.0,,,False,,,replicate,1WL+NN:Embedding-Sum: 10.06.2023 10:26:32,fa4e4536,74.27999877929688,52.66666412353515,48.26666641235352,0.8580946922302246,6.228571891784668,8.108952522277832,77.37860107421875,4.346887111663818,,relu,batch_norm,cpu,0.0980200557864032,,3.0,,128.0,,,,,1-WL+NN
15,,,0.0,{'runtime': 2664},2666.0405580997467,1686388129.696069,,,0.002699855684273748,1.0,42.0,,GAT:Sum,10.0,ENZYMES,32.0,,200.0,,,False,,,replicate,GAT:Sum: 10.06.2023 10:24:22,k6axz1nr,75.26000213623047,40.814815521240234,34.06666946411133,1.8714830875396729,5.0881757736206055,6.7019476890563965,41.87654113769531,4.667383193969727,cat,relu,batch_norm,cpu,0.06069166552982977,False,3.0,64.0,,,,,,GNN
